user_id,article_1,article_2,article_3,article_4,article_5
200000,195148,194881,195147,195191,194339
200001,172051,172323,172507,172121,174214
200002,300923,161100,301011,300472,156963
200003,160974,161100,158536,156355,288620
200004,236444,234195,236289,236244,234443
200005,285435,283327,284452,284547,283041
200006,118777,119008,118808,313006,118855
200007,50494,50685,50611,50864,50405
200008,161100,285343,284491,286161,292424
200009,270229,272803,266009,272955,271316
200010,166338,156963,162765,156620,159762
200011,198610,199197,226595,198817,198822
200012,119046,118697,118856,118618,118538
200013,234268,237504,237612,198659,233658
200014,158536,156447,159762,156618,160974
200015,140971,140436,140548,141414,140797
200016,96672,95977,198610,199197,198817
200017,70519,70335,65495,70649,206073
200018,96739,336587,95504,95977,338217
200019,176586,176885,177920,177442,176793
200020,162338,158536,160974,159034,161409
200021,288475,270229,331078,351318,311069
200022,198610,199197,198817,198822,338217
200023,198610,199411,161100,357730,160974
200024,156355,159762,337087,337563,160974
200025,160132,156447,198610,199197,198817
200026,282933,283026,286209,286336,284944
200027,107127,114055,284406,114794,114161
200028,285435,283327,284452,284547,283041
200029,124196,123368,124228,124734,123564
200030,160974,161100,124196,199198,198610
200031,156447,161100,158536,160974,162338
200032,158536,156447,159762,156618,160974
200033,124228,337563,337746,95977,123826
200034,161100,156624,162338,160974,233642
200035,298835,300082,63304,63308,166381
200036,277068,336839,199198,337563,129368
200037,307818,307465,286725,307987,307481
200038,236189,236565,234391,234814,236482
200039,224486,225055,106784,225124,224355
200040,161801,160470,162351,162300,159938
200041,198610,199844,199418,198822,199114
200042,292924,293320,292851,293381,292604
200043,199198,198610,198820,199844,199418
200044,161100,158536,300485,162338,159762
200045,83610,84159,160974,159762,161100
200046,272218,352264,351364,351884,307912
200047,289186,288321,288482,198610,20591
200048,288475,331078,351318,311069,352673
200049,160974,161100,158536,162765,124060
200050,161100,160974,158536,160132,162338
200051,270229,272803,266009,272955,271316
200052,161100,162338,158229,160132,159762
200053,352902,353849,351849,42873,353856
200054,198610,199197,198817,198822,199938
200055,161100,162338,158536,160132,236273
200056,208048,202325,162351,202455,203241
200057,166322,166228,214097,284417,166227
200058,198610,199197,63304,198817,62434
200059,284452,284547,284382,286108,285435
200060,284474,161100,160131,285342,285435
200061,288301,140410,289186,288321,157748
200062,285635,285908,202478,285995,206808
200063,96029,63304,96103,63308,63295
200064,270229,272803,266009,272955,271316
200065,235669,234432,236645,236766,156355
200066,118443,118444,172051,172323,172507
200067,337563,338217,337087,338040,285435
200068,124196,123368,96739,96321,96103
200069,336250,336362,285101,235276,337051
200070,288475,331078,351318,311069,352673
200071,124177,124228,337563,337746,337080
200072,289186,288321,132475,288482,160974
200073,124228,141416,124196,124734,124755
200074,161580,237282,198610,234377,199197
200075,123368,198610,199197,198817,124717
200076,182006,181967,184081,181486,181134
200077,161100,156447,161077,161858,162338
200078,199406,199078,298246,198159,299626
200079,286209,282933,284944,236266,236444
200080,255147,255159,255629,255035,255173
200081,162338,5314,226595,226496,208071
200082,158536,156447,159762,156618,160974
200083,337563,338217,337087,338040,336839
