user_id,article_1,article_2,article_3,article_4,article_5
200000,194619,50573,63344,194935,10082
200001,64329,272143,199198,324823,166581
200002,298035,298032,299582,300128,298030
200003,272143,337143,199197,156619,158536
200004,336221,234698,235870,336223,95716
200005,69932,156964,160974,160417,158536
200006,199197,284547,235230,206934,158192
200007,336254,289003,157478,97530,50864
200008,235870,233717,234698,293301,59057
200009,198659,199198,64329,166581,324823
200010,158536,162655,160974,64329,218337
200011,272143,198659,182394,64329,224658
200012,123818,123290,124352,199198,118618
200013,272143,20691,96210,57616,336245
200014,156560,272143,160417,235230,199197
200015,336221,235870,156964,234698,141414
200016,20691,96210,284583,198659,336245
200017,162839,65831,237176,231293,64907
200018,234698,336221,288440,96210,235870
200019,261612,121834,15226,177155,16911
200020,233717,199197,336221,198659,235870
200021,198659,199198,156560,64329,199197
200022,235870,336221,64409,234698,300082
200023,358109,198275,199496,198867,199653
200024,336221,234267,235616,162655,272143
200025,272143,166581,64329,199198,175040
200026,286336,31594,288620,8131,324062
200027,59888,59827,59848,59817,168642
200028,182513,348111,275192,275190,336476
200029,123818,123290,123757,124352,123289
200030,123818,124352,123290,272143,156560
200031,156560,272218,301030,129434,97082
200032,156560,272143,160417,235230,199197
200033,336223,336221,59057,95716,235870
200034,197151,87179,157844,215861,156624
200035,234698,236808,326920,336221,161506
200036,156560,293301,272143,313431,199197
200037,307818,307465,307987,307481,284985
200038,236065,233605,336476,182513,234391
200039,149610,224486,282046,206429,206772
200040,336476,4864,107039,182513,162338
200041,336220,272143,235854,277492,129029
200042,199197,338340,211863,272143,123909
200043,159762,313431,285719,233717,293301
200044,298035,298032,299582,95972,298030
200045,156560,84044,199197,209845,95130
200046,353012,351820,353437,352530,353811
200047,272143,133160,31836,96210,175040
200048,336476,182513,348134,272143,284474
200049,272143,199197,156619,158536,160417
200050,156560,272143,235230,160417,289090
200051,198659,199198,64329,166581,324823
200052,156560,159762,123909,168623,160417
200053,272143,158536,64329,156560,162655
200054,272143,175040,166581,162655,198659
200055,32082,257291,156560,64329,336221
200056,324823,284547,14145,198659,13539
200057,93027,118668,95763,285281,6827
200058,64329,198659,161506,156560,166581
200059,336221,235870,336254,218028,279185
200060,156560,59057,233717,284547,133160
200061,336221,235870,234698,31836,59057
200062,202376,208596,160974,202701,207714
200063,199197,64329,162655,198659,156560
200064,198659,199198,64329,166581,324823
200065,14394,199197,156560,272143,236951
200066,336223,272143,64329,59057,199198
200067,234698,235870,336221,95716,336223
200068,123290,123818,124352,123757,123289
200069,59057,336221,288320,336223,31836
200070,336476,182513,348134,272143,284474
200071,234698,95716,235616,124749,235870
200072,59057,31836,303180,336223,141004
200073,123290,123818,124352,124748,336221
200074,272143,166581,64329,199198,175040
200075,272143,123757,124177,224658,199198
200076,336476,284474,156624,348111,182513
200077,166338,156624,39472,218289,152983
200078,199198,324823,272143,64329,166581
200079,331116,336254,283123,286336,283009
200080,255935,254876,255937,256026,255747
200081,208473,42530,156560,5387,293668
200082,156560,272143,160417,235230,199197
200083,235870,95716,336221,300082,245161
200084,235870,59057,277492,156560,156964
200085,133506,336223,297906,298035,298032
200086,199198,272143,64329,166581,162655
200087,234698,336221,235870,336223,95716
200088,156560,272143,160417,235230,199197
200089,199197,156560,234698,235230,284547
200090,272143,64329,199197,198659,162655
200091,64329,285648,160417,156560,284547
200092,123757,123289,313932,312305,312619
200093,235870,95716,234698,336221,336223
200094,198659,64329,166581,59057,162655
200095,209236,89507,218028,186039,202559
200096,123290,124352,123818,123757,123289
200097,336221,235870,272143,95716,199198
200098,287083,277302,286161,270607,159071
200099,14832,59057,13574,13539,336223
200100,336220,111043,336221,235616,234006
200101,44769,42354,42353,360884,44804
200102,156560,235230,284547,129029,272143
200103,224474,223908,215581,230287,8845
200104,64329,198659,166581,96210,272143
200105,336223,31836,59057,133160,30657
200106,218028,234698,209236,20691,64329
200107,75376,74895,71432,32271,288320
200108,199198,175040,20691,166581,324823
200109,298035,298032,299582,298030,299523
200110,338340,293062,123826,272143,293050
200111,59057,336223,336221,31836,156560
200112,156560,160417,161506,156964,156619
200113,123909,300263,293301,276970,272143
200114,123818,124177,123290,123289,124748
200115,156560,272143,160417,235230,199197
200116,156560,160417,301008,272143,158536
200117,234698,336221,235870,300082,235616
200118,298035,298032,299582,298030,299523
200119,156560,160417,272143,235230,284547
200120,336221,201796,235870,168623,123757
200121,336221,289090,272143,64329,198659
200122,59057,336223,336221,31836,235870
200123,313431,235230,156560,129029,187065
200124,156560,160417,199198,64329,20691
200125,123290,123818,124352,124350,272143
200126,286161,331116,156560,168623,199197
200127,160417,162655,156619,272143,64329
200128,336221,96210,336220,288440,336245
200129,160417,272143,156619,64329,156560
200130,158536,162655,156624,160974,64329
200131,272143,59057,313431,160132,233478
200132,199197,156624,313431,336254,70646
200133,313431,235230,156560,129029,187065
200134,336223,234698,283009,59057,235870
200135,20691,59057,234698,336221,95716
200136,313920,160417,225010,236566,158536
200137,336221,234698,336223,235616,235870
200138,156560,64329,198659,199198,199197
200139,206168,70646,235230,313431,284547
200140,235524,235616,160974,160417,158536
200141,156560,336221,199197,336245,288440
200142,106442,198659,315088,64329,199198
200143,334213,160974,160417,332953,333794
200144,64329,199198,272143,124748,162655
200145,272143,160417,233717,64329,156560
200146,232955,229265,332041,10082,8793
200147,234698,95716,270151,272522,307547
200148,160974,160417,158536,272143,199198
200149,321060,320564,321956,319880,320215
200150,234698,59057,336223,336221,95716
200151,199197,129029,156560,168623,235230
200152,298035,298032,299582,298030,299523
200153,156560,331116,202355,160417,158536
200154,59057,336223,288320,234698,31836
200155,237524,161602,123909,156560,198659
200156,156560,214800,123757,276946,111210
200157,276970,156560,233717,168623,95972
200158,331116,156560,336254,289003,202355
200159,159762,272143,285719,233717,289126
200160,202289,202388,203199,208539,128260
200161,202388,206735,202381,69463,202372
200162,62747,61913,163395,62568,61966
200163,64329,156560,284547,198659,199198
200164,324823,336221,198659,199198,64329
200165,166581,175040,272143,198659,199198
200166,282727,281222,123289,59057,124350
200167,64329,272143,198659,199198,166581
200168,64329,156560,199198,158536,160974
200169,123757,59057,124350,123290,123818
200170,272143,64329,336221,119193,162655
200171,293301,124228,10082,8793,8901
200172,156624,272143,199197,156619,158536
200173,298035,298032,299582,298030,299523
200174,221711,353874,30576,331587,181965
200175,156560,272143,160417,235230,199197
200176,198659,64329,199198,272143,166581
200177,272143,198659,182394,64329,224658
